F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,Class
0.12352808,0.046044686,0.024871679,0.016077899,0.010869565,0.009812802,0.007435085,0.006189614,0.00366093,0.001207729,0.014115338,0.016719505,0.021286232,0.023248792,0.026796498,0.031061292,0.039137983,0.035703502,Non Cancer
1.09E-05,0.000195876,0.000819779,0.002325126,0.005781982,0.014132122,0.033204684,0.065687526,0.075604678,0.041789875,0.009336777,0.016852628,0.019605781,0.02363213,0.02761495,0.030306438,0.030277419,0.028456494,Non Cancer
0.000579651,0.002937222,0.006926584,0.013823942,0.026186579,0.038938898,0.046274647,0.041915088,0.033994817,0.030738056,0.013283259,0.020882043,0.023580586,0.024993181,0.025972255,0.026118385,0.02652755,0.026926974,Non Cancer
0.00177109,0.008704718,0.014840728,0.020625031,0.026955735,0.034812591,0.040628297,0.03957946,0.032155956,0.023941114,0.007172286,0.012158971,0.01664322,0.019996985,0.02593202,0.031596995,0.037356177,0.038693915,Non Cancer
7.07E-05,0.000732116,0.002423557,0.00645272,0.013824373,0.026022943,0.044502565,0.062315709,0.055151068,0.030803409,0.008633922,0.015465323,0.019317769,0.02406895,0.028577776,0.032632185,0.034964858,0.032677627,Non Cancer
0.003868018,0.012825532,0.024241665,0.033559359,0.037063282,0.036879277,0.03194638,0.027095698,0.021873091,0.016518158,0.016822745,0.024868065,0.026344019,0.027655543,0.027968743,0.027256213,0.027193573,0.025607999,Cancer
0.000715478,0.002302945,0.004225793,0.006372228,0.01049368,0.014443716,0.020435845,0.029915931,0.05416766,0.085541378,0.004538815,0.008623003,0.011261328,0.013489745,0.018125447,0.023320117,0.030325841,0.037950155,Non Cancer
0.001059184,0.00227797,0.004436239,0.00885434,0.017527314,0.032051189,0.047503664,0.046560555,0.032678719,0.045640661,0.013537238,0.020527125,0.0216117,0.02213041,0.022779704,0.022554809,0.023251259,0.023831633,Non Cancer
0.000712204,0.004126435,0.008611691,0.014439805,0.022616562,0.030657403,0.037768572,0.041704723,0.042248391,0.037691371,0.007442806,0.011580115,0.015391223,0.018261787,0.02306237,0.027248608,0.030733516,0.035860299,Non Cancer
9.75E-05,0.000987885,0.002775178,0.005472365,0.01026231,0.019179275,0.035869339,0.059643581,0.070107368,0.036484168,0.005823324,0.011146207,0.014941767,0.020076171,0.026165965,0.032294754,0.037422659,0.04017184,Cancer
0.000334652,0.002038333,0.008396714,0.017919075,0.028217219,0.036454214,0.040454822,0.036621539,0.036811682,0.034201399,0.01442805,0.021836021,0.023798296,0.025950715,0.027836933,0.029183146,0.029571037,0.030095832,Cancer
0.000163555,0.001409089,0.003862413,0.008045644,0.015732726,0.028395652,0.043505611,0.057728599,0.056571134,0.027668462,0.010492678,0.01763877,0.022111368,0.025564894,0.029861356,0.033138745,0.03417669,0.030377183,Cancer
0.000221268,0.001273197,0.003108632,0.005999623,0.010940062,0.020498107,0.036882808,0.052741545,0.048029628,0.056244106,0.008643955,0.014853963,0.017715936,0.020744766,0.022627356,0.024310442,0.024636903,0.023991236,Non Cancer
0.001027744,0.004144439,0.006897837,0.010980133,0.017452533,0.027887723,0.042022792,0.051191227,0.049876671,0.030815121,0.008250636,0.014316717,0.017839729,0.022314002,0.026090365,0.030320847,0.034058969,0.036348687,Non Cancer
0.000362734,0.001498092,0.003659988,0.008397295,0.016609596,0.029131179,0.045588427,0.057743649,0.049378999,0.030104032,0.009594318,0.016914293,0.021136519,0.025663441,0.029682535,0.032069326,0.032700483,0.02802484,Cancer
0.020243289,0.015418176,0.021800821,0.025992753,0.028141869,0.028691858,0.03024939,0.03066997,0.027735155,0.016845375,0.014983731,0.021412593,0.024241108,0.026177623,0.027730533,0.028738076,0.030059898,0.029620831,Non Cancer
0.00233603,0.014642704,0.029616569,0.040321137,0.044706788,0.040383789,0.031308177,0.022205714,0.014418946,0.008048117,0.020469354,0.030556351,0.033313046,0.032364313,0.030663755,0.027575899,0.024273235,0.020469354,Cancer
0.000257462,0.003384451,0.00842602,0.016547766,0.027997791,0.04122196,0.049236041,0.0445596,0.032196757,0.020937722,0.015517919,0.024177995,0.0262845,0.027581171,0.027431375,0.026991349,0.026022357,0.026438977,Non Cancer
0.000457045,0.002589922,0.008219556,0.018622771,0.034067991,0.04694868,0.048976364,0.037724351,0.026954774,0.020350836,0.018227391,0.026526748,0.027770926,0.027781808,0.027150651,0.026323617,0.025474819,0.02436848,Cancer
0.011474299,0.023870344,0.026317312,0.03147992,0.035038771,0.032790206,0.026519849,0.020228825,0.016951044,0.020263545,0.016793975,0.025176496,0.026172644,0.02755733,0.027239059,0.026304912,0.025209563,0.02200205,Non Cancer
0.000576232,0.004562275,0.009431169,0.016504546,0.025798266,0.037719391,0.046357581,0.047176993,0.0371273,0.019796997,0.011392472,0.018983929,0.024444914,0.027162191,0.031016071,0.03248044,0.032543878,0.029297949,Non Cancer
0.003022892,0.012675534,0.019085438,0.028277776,0.037834236,0.044786886,0.040273159,0.029294567,0.02012971,0.011695842,0.018096128,0.026903735,0.029816703,0.032090742,0.031273187,0.030771662,0.0254129,0.023557943,Cancer
0.002766888,0.0052468,0.008084079,0.012578242,0.019985489,0.034653787,0.048098373,0.050892335,0.03742609,0.024214334,0.013016829,0.020326612,0.023071842,0.026434342,0.028074982,0.028497325,0.02842152,0.028074982,Non Cancer
0.01861561,0.037907589,0.045917916,0.042483024,0.034574374,0.024013298,0.016714705,0.011312597,0.009053614,0.007525817,0.029366777,0.036811253,0.033005022,0.029985677,0.027275782,0.024048663,0.020759655,0.018217747,Cancer
0.045203654,0.073515417,0.048153788,0.029715455,0.017431164,0.011197818,0.007811509,0.006161972,0.005416508,0.004314173,0.02417999,0.0345689,0.035710887,0.034188238,0.030928816,0.02521095,0.021927738,0.018866578,Non Cancer
0.014752668,0.030217838,0.041601308,0.043777478,0.036221638,0.027318119,0.0192928,0.014117491,0.011444226,0.009005148,0.026959106,0.0341007,0.032338776,0.030532665,0.027268409,0.024169852,0.021386121,0.019624196,Non Cancer
0.051333174,0.080601444,0.040734854,0.022400265,0.014723718,0.010157298,0.008186479,0.006936915,0.007423878,0.00600158,0.038800786,0.041244786,0.03216248,0.026672669,0.021711167,0.020705085,0.019515243,0.018986935,Cancer
0.022251254,0.036313754,0.043284908,0.041931438,0.03336643,0.022805184,0.015901965,0.011716137,0.010059574,0.009895485,0.023479306,0.031129808,0.031438127,0.030257107,0.027884615,0.025235159,0.022888796,0.020918687,Cancer
0.010012547,0.055646173,0.057302384,0.037515684,0.024027604,0.017195734,0.013764115,0.011361355,0.010991217,0.00974655,0.030056462,0.035081556,0.029247177,0.025941029,0.023851945,0.022854454,0.022572146,0.02174404,Cancer
0.01596393,0.045486862,0.038308353,0.031739238,0.028336791,0.024118193,0.020897114,0.016348428,0.011237504,0.01405087,0.028046604,0.034720912,0.030774365,0.02711075,0.024622394,0.022776077,0.021938161,0.020933388,Non Cancer
0.01234747,0.038736379,0.04151855,0.036160967,0.029892921,0.02299009,0.018601007,0.015354536,0.012982255,0.017132659,0.022674511,0.029979977,0.028227971,0.027313881,0.025413154,0.024375735,0.0235088,0.021970807,Non Cancer
0.017189234,0.03616808,0.038476681,0.037939797,0.033000465,0.026960521,0.021627474,0.015721751,0.0120262,0.008711837,0.010621354,0.017493468,0.021296396,0.026146247,0.031022943,0.035505924,0.035452235,0.031873009,Non Cancer
